Qu1,Qu2,Similarity
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,"In your opinion, is lowering taxes at the federal level a priority for the next four years?",tensor(0.2365)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.2364)
Should cannabis use be legalized?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,tensor(0.2363)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",tensor(0.2362)
Are you in favor of further tightening the asylum law?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2362)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,tensor(0.2361)
Would you support the introduction of an opt-out solution of for organ donation?,Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,tensor(0.2359)
Should the rules for reproductive medicine be further relaxed?,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2359)
Do you support cantonal efforts to reduce social welfare benefits?,Are you in favour of lowering the voting age to 16?,tensor(0.2358)
Should the expansion of the mobile network according to the 5G standard continue?,"Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.2356)
Do you support cantonal efforts to reduce social welfare benefits?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2355)
Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,tensor(0.2355)
Do you support an increase in the retirement age (e.g. to 67)?,Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,tensor(0.2354)
Should same-sex couples have the same rights as heterosexual couples in all areas?,Should Switzerland start membership negotiations with the EU?,tensor(0.2353)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,tensor(0.2352)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,tensor(0.2346)
Should the rules for reproductive medicine be further relaxed?,Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,tensor(0.2346)
Are you in favor of further tightening the asylum law?,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2346)
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2344)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2343)
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""",Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,tensor(0.2343)
Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2342)
Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2340)
Are you in favour of stricter monitoring of pay equity for women and men? ,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.2336)
Should cannabis use be legalized?,Do you support an increase in the retirement age (e.g. to 67)?,tensor(0.2336)
Should the federal government provide more support for the construction of non-profit housing? ,Should Switzerland start membership negotiations with the EU?,tensor(0.2334)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.2333)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",tensor(0.2332)
Should cannabis use be legalized?,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,tensor(0.2328)
Should high traffic motorways be expanded to six lanes?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2328)
Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.2327)
Should the requirements for naturalization be increased?,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,tensor(0.2325)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,Should the federal government provide more support for renewable energies?,tensor(0.2324)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,"In your opinion, is lowering taxes at the federal level a priority for the next four years?",tensor(0.2322)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.2318)
Are you in favor of further tightening the asylum law?,Should same-sex couples have the same rights as heterosexual couples in all areas?,tensor(0.2316)
Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2314)
Should same-sex couples have the same rights as heterosexual couples in all areas?,Are you in favour of a complete liberalisation of business hours for shops?,tensor(0.2310)
Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",tensor(0.2309)
Are you in favour of a complete liberalisation of business hours for shops?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2307)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,Should Switzerland start membership negotiations with the EU?,tensor(0.2307)
Should high traffic motorways be expanded to six lanes?,Are you in favour of lowering the voting age to 16?,tensor(0.2306)
Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,tensor(0.2305)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.2303)
Should cannabis use be legalized?,Should the federal government expand its financial support for continued education and retraining?,tensor(0.2302)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Are you in favour of a complete liberalisation of business hours for shops?,tensor(0.2301)
Should the federal government provide more support for the construction of non-profit housing? ,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,tensor(0.2301)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Should same-sex couples have the same rights as heterosexual couples in all areas?,tensor(0.2299)
Should the rules for reproductive medicine be further relaxed?,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2298)
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,tensor(0.2298)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,tensor(0.2297)
Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2294)
Do you support cantonal efforts to reduce social welfare benefits?,Are you in favour of a complete liberalisation of business hours for shops?,tensor(0.2292)
Should cannabis use be legalized?,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",tensor(0.2290)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,Do you support cantonal efforts to reduce social welfare benefits?,tensor(0.2290)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.2290)
Should the requirements for naturalization be increased?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.2289)
Are you in favor of further tightening the asylum law?,Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,tensor(0.2288)
Should the requirements for naturalization be increased?,Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,tensor(0.2284)
Should sans-papiers be able to obtain a regularized residence status more easily?,Should the protection against dismissal for older employees be extended?,tensor(0.2284)
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures."".""",Should the protection against dismissal for older employees be extended?,tensor(0.2284)
Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2283)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,Should the rules for reproductive medicine be further relaxed?,tensor(0.2283)
Should cannabis use be legalized?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.2281)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2281)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,Should the export of war materials from Switzerland be banned? ,tensor(0.2280)
Are you in favour of stricter monitoring of pay equity for women and men? ,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",tensor(0.2279)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,tensor(0.2279)
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,Should the rules for reproductive medicine be further relaxed?,tensor(0.2279)
Should same-sex couples have the same rights as heterosexual couples in all areas?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2278)
Should the requirements for naturalization be increased?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2276)
Should the federal government provide more support for the integration of foreigners?,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.2275)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",tensor(0.2275)
Are you in favour of lowering the voting age to 16?,Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2270)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2268)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2268)
Should high traffic motorways be expanded to six lanes?,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.2267)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2267)
Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,Should high traffic motorways be expanded to six lanes?,tensor(0.2267)
Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.2266)
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""",Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.2266)
Should the requirements for naturalization be increased?,Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,tensor(0.2265)
Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,tensor(0.2264)
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures."".""",Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.2264)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2262)
"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,tensor(0.2261)
Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",tensor(0.2258)
"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2257)
Should the requirements for naturalization be increased?,Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,tensor(0.2257)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2256)
Should cannabis use be legalized?,Should the expansion of the mobile network according to the 5G standard continue?,tensor(0.2256)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should married couples be taxed separately (individual taxation)?,tensor(0.2253)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2251)
Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2251)
Should the federal government provide more support for the integration of foreigners?,An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,tensor(0.2250)
Should cannabis use be legalized?,Would you support the introduction of an opt-out solution of for organ donation?,tensor(0.2250)
Should same-sex couples have the same rights as heterosexual couples in all areas?,Should high traffic motorways be expanded to six lanes?,tensor(0.2250)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.2250)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.2249)
"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?","Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2248)
"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Should the requirements for naturalization be increased?,tensor(0.2248)
Should same-sex couples have the same rights as heterosexual couples in all areas?,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2245)
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",Do you support cantonal efforts to reduce social welfare benefits?,tensor(0.2245)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.2245)
"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,tensor(0.2245)
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,tensor(0.2244)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",tensor(0.2243)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2243)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2243)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,Should married couples be taxed separately (individual taxation)?,tensor(0.2241)
Should the requirements for naturalization be increased?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.2240)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?","Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2240)
Do you support an increase in the retirement age (e.g. to 67)?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2239)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?","Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2238)
Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,Should Switzerland start membership negotiations with the EU?,tensor(0.2237)
Are you in favour of a complete liberalisation of business hours for shops?,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2235)
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,tensor(0.2233)
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2233)
Should the requirements for naturalization be increased?,Should same-sex couples have the same rights as heterosexual couples in all areas?,tensor(0.2233)
"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.2232)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.2231)
Should Switzerland strive for a free trade agreement with the USA?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2231)
Would you support the introduction of an opt-out solution of for organ donation?,"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?",tensor(0.2229)
"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",tensor(0.2229)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,tensor(0.2228)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should same-sex couples have the same rights as heterosexual couples in all areas?,tensor(0.2227)
Should the federal government provide more support for the construction of non-profit housing? ,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",tensor(0.2227)
Should the export of war materials from Switzerland be banned? ,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.2226)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,Should Switzerland start membership negotiations with the EU?,tensor(0.2226)
Are you in favour of stricter monitoring of pay equity for women and men? ,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",tensor(0.2225)
"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2225)
Should the federal government expand its financial support for continued education and retraining?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.2224)
Should campaign finance for political parties and referendums be openly declared?,Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,tensor(0.2223)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,tensor(0.2222)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?",Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,tensor(0.2222)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",tensor(0.2221)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,tensor(0.2217)
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.2217)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?",Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,tensor(0.2213)
Would you support the introduction of an opt-out solution of for organ donation?,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,tensor(0.2213)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,Should the federal government provide more support for the construction of non-profit housing? ,tensor(0.2211)
Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.2211)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,Should sans-papiers be able to obtain a regularized residence status more easily?,tensor(0.2210)
Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2209)
Should the rules for reproductive medicine be further relaxed?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2209)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?","Currently, a CO2 charge is levied on fossil combustibles (e.g. heating oil, natural gas). Should this charge be extended to motor fuels (e.g. petrol, diesel)?",tensor(0.2207)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2207)
Should cannabis use be legalized?,Should the federal government provide more support for the construction of non-profit housing? ,tensor(0.2207)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?",Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,tensor(0.2206)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,Should the protection against dismissal for older employees be extended?,tensor(0.2203)
"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2203)
Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,"Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.2201)
Do you support an increase in the retirement age (e.g. to 67)?,Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,tensor(0.2199)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2198)
Should cannabis use be legalized?,Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,tensor(0.2197)
Should cannabis use be legalized?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.2197)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,Should married couples be taxed separately (individual taxation)?,tensor(0.2196)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2195)
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.2195)
Should the requirements for naturalization be increased?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2195)
Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,Should the export of war materials from Switzerland be banned? ,tensor(0.2195)
Are you in favor of further tightening the asylum law?,Are you in favour of stricter monitoring of pay equity for women and men? ,tensor(0.2193)
Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.2193)
Should same-sex couples have the same rights as heterosexual couples in all areas?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.2192)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2190)
Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2189)
Are you in favour of stricter monitoring of pay equity for women and men? ,Should Switzerland start membership negotiations with the EU?,tensor(0.2189)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,tensor(0.2189)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.2185)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,Should the expansion of the mobile network according to the 5G standard continue?,tensor(0.2184)
Are you in favor of further tightening the asylum law?,Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,tensor(0.2180)
Should the federal government provide more support for the integration of foreigners?,Should same-sex couples have the same rights as heterosexual couples in all areas?,tensor(0.2180)
Should the federal government expand its financial support for continued education and retraining?,Should the protection against dismissal for older employees be extended?,tensor(0.2180)
Should high traffic motorways be expanded to six lanes?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2179)
Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.2179)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.2179)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?","Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",tensor(0.2178)
Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.2178)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2177)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,Should married couples be taxed separately (individual taxation)?,tensor(0.2177)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.2175)
Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,tensor(0.2174)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,tensor(0.2173)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,Should married couples be taxed separately (individual taxation)?,tensor(0.2172)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,tensor(0.2172)
Should the rules for reproductive medicine be further relaxed?,"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",tensor(0.2172)
Are you in favour of a complete liberalisation of business hours for shops?,Should the protection against dismissal for older employees be extended?,tensor(0.2171)
Are you in favor of further tightening the asylum law?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,tensor(0.2171)
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""",Would you support the introduction of an opt-out solution of for organ donation?,tensor(0.2170)
Should the federal government expand its financial support for continued education and retraining?,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2169)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",tensor(0.2169)
